,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
84,KLBS,                                        476.60,                                        9.30,                                        1.99,                                        476.60,                                        476.60,                                        476.60,                                        10.00,                                        467.30
85,KLBSL,                                        818.90,                                        13.90,                                        1.73,                                        821.00,                                        821.00,                                        818.90,                                        30.00,                                        805.00
86,KMCDB,                                        896.00,                                        16.00,                                        1.82,                                        872.00,                                        924.00,                                        867.00,                                        283.00,                                        880.00
87,KPCL,                                        315.20,                                        0.20,                                        0.06,                                        321.30,                                        325.00,                                        315.20,                                        462.00,                                        315.00
88,KRBL,                                        256.00,                                        1.00,                                        0.39,                                        257.00,                                        257.00,                                        250.00,"                                        6,700.00",                                        255.00
89,KSBBL,                                        307.00,                                        -0.90,                                        -0.29,                                        306.00,                                        310.00,                                        305.00,"                                        6,801.00",                                        307.90
90,LBBL,                                        316.00,                                        -6.00,                                        -1.86,                                        322.00,                                        323.50,                                        316.00,"                                        12,113.00",                                        322.00
91,LBL,                                        193.00,                                        1.20,                                        0.63,                                        191.00,                                        194.00,                                        188.20,"                                        13,103.00",                                        191.80
92,LBLD88,                                        941.20,                                        0.00,                                        0.00,                                        941.20,                                        941.20,                                        941.20,                                        25.00,                                        941.20
93,LEC,                                        222.90,                                        2.90,                                        1.32,                                        217.00,                                        224.00,                                        216.00,"                                        1,400.00",                                        220.00
94,LEMF,                                        7.99,                                        -0.15,                                        -1.84,                                        7.98,                                        7.99,                                        7.72,"                                        13,025.00",                                        8.14
95,LICN,"                                        1,428.00",                                        3.00,                                        0.21,"                                        1,411.00","                                        1,428.00","                                        1,400.00","                                        1,444.00","                                        1,425.00"
96,LLBS,"                                        1,024.00",                                        -2.00,                                        -0.19,"                                        1,015.00","                                        1,024.00","                                        1,012.10",                                        148.00,"                                        1,026.00"
97,LUK,                                        7.85,                                        0.00,                                        0.00,                                        7.85,                                        7.85,                                        7.70,"                                        4,600.00",                                        7.85
98,MBJC,                                        210.20,                                        2.00,                                        0.96,                                        205.00,                                        210.20,                                        204.30,"                                        3,965.00",                                        208.20
99,MBL,                                        214.00,                                        0.00,                                        0.00,                                        214.00,                                        215.00,                                        210.10,"                                        21,300.00",                                        214.00
100,MDB,                                        376.00,                                        -6.00,                                        -1.57,                                        375.00,                                        381.00,                                        375.00,"                                        1,389.00",                                        382.00
101,MEGA,                                        194.00,                                        -3.00,                                        -1.52,                                        193.30,                                        198.90,                                        193.00,"                                        33,003.00",                                        197.00
102,MEN,                                        725.00,                                        -8.00,                                        -1.09,                                        747.60,                                        747.60,                                        723.30,                                        470.00,                                        733.00
103,MERO,                                        766.00,                                        -4.00,                                        -0.52,                                        770.00,                                        775.00,                                        761.10,                                        934.00,                                        770.00
104,MFIL,                                        416.10,                                        -2.40,                                        -0.57,                                        422.00,                                        422.00,                                        415.00,"                                        7,201.00",                                        418.50
105,MHL,                                        314.00,                                        -1.00,                                        -0.32,                                        308.70,                                        320.00,                                        303.20,                                        680.00,                                        315.00
106,MHNL,                                        251.00,                                        2.10,                                        0.84,                                        248.00,                                        252.00,                                        247.10,"                                        2,860.00",                                        248.90
107,MKJC,                                        405.00,                                        -8.00,                                        -1.94,                                        404.80,                                        412.80,                                        404.00,"                                        1,833.00",                                        413.00
108,MKLB,                                        826.00,                                        -14.00,                                        -1.67,                                        835.00,                                        840.00,                                        823.20,                                        118.00,                                        840.00
109,MLBBL,"                                        1,034.00",                                        15.10,                                        1.48,"                                        1,004.00","                                        1,034.00",                                        980.00,                                        645.00,"                                        1,018.90"
110,MLBL,                                        344.00,                                        0.70,                                        0.20,                                        350.10,                                        350.10,                                        338.10,"                                        8,079.00",                                        343.30
111,MLBS,"                                        1,000.20",                                        0.10,                                        0.01,"                                        1,000.00","                                        1,020.00",                                        995.10,                                        750.00,"                                        1,000.10"
112,MLBSL,"                                        3,985.00",                                        -54.00,                                        -1.34,"                                        4,060.00","                                        4,090.00","                                        3,975.50",                                        538.00,"                                        4,039.00"
113,MMF1,                                        7.16,                                        -0.02,                                        -0.28,                                        7.32,                                        7.46,                                        7.10,"                                        3,150.00",                                        7.18
114,MMFDB,                                        872.00,                                        -18.00,                                        -2.02,                                        890.00,                                        890.00,                                        856.10,"                                        2,028.00",                                        890.00
115,MMFDBP,                                        483.00,                                        0.00,                                        0.00,                                        483.00,                                        483.00,                                        483.00,"                                        1,046.00",                                        483.00
116,MNBBL,                                        420.00,                                        -1.00,                                        -0.24,                                        420.00,                                        423.50,                                        418.20,"                                        8,023.00",                                        421.00
117,MPFL,                                        302.00,                                        1.00,                                        0.33,                                        303.00,                                        303.00,                                        297.20,"                                        1,523.00",                                        301.00
118,MSLB,"                                        1,039.00",                                        0.00,                                        0.00,"                                        1,050.00","                                        1,050.00","                                        1,020.00",                                        171.00,"                                        1,039.00"
119,NABBC,                                        358.00,                                        7.90,                                        2.26,                                        350.00,                                        385.10,                                        345.10,"                                        2,284.00",                                        350.10
120,NABIL,                                        807.10,                                        -7.90,                                        -0.97,                                        816.00,                                        816.90,                                        804.70,"                                        88,690.00",                                        815.00
121,NADEP,                                        678.80,                                        -14.00,                                        -2.02,                                        693.00,                                        702.00,                                        678.50,"                                        1,987.00",                                        692.80
122,NBF2,                                        8.02,                                        0.47,                                        6.23,                                        7.60,                                        8.02,                                        7.60,"                                        2,600.00",                                        7.55
123,NBF3,                                        7.30,                                        -0.05,                                        -0.68,                                        7.25,                                        7.35,                                        7.25,"                                        3,600.00",                                        7.35
124,NBL,                                        276.40,                                        -0.60,                                        -0.22,                                        277.00,                                        277.00,                                        274.00,"                                        128,136.00",                                        277.00
125,NCCB,                                        183.50,                                        1.70,                                        0.94,                                        180.00,                                        185.30,                                        180.00,"                                        43,930.00",                                        181.80
126,NCCD86,                                        900.00,                                        0.00,                                        0.00,                                        900.00,                                        900.00,                                        900.00,                                        30.00,                                        900.00
127,NEF,                                        7.83,                                        -0.11,                                        -1.39,                                        7.80,                                        7.94,                                        7.80,"                                        11,894.00",                                        7.94
128,NESDO,"                                        3,311.00",                                        -18.00,                                        -0.54,"                                        3,300.00","                                        3,350.00","                                        3,300.00","                                        2,081.00","                                        3,329.00"
129,NFS,                                        254.00,                                        -5.00,                                        -1.93,                                        260.00,                                        263.00,                                        254.00,"                                        2,837.00",                                        259.00
130,NGPL,                                        208.00,                                        -0.50,                                        -0.24,                                        208.50,                                        210.90,                                        206.00,"                                        34,710.00",                                        208.50
